Source,Target,Label,Type,Weight
Vallby,Skälby,Burglary,undirected,3
Hammarby,Erikslund,Drunk Driving,undirected,3
Gideonsberg,Hammarby,Drunk Driving,undirected,3
Gideonsberg,Erikslund,Drunk Driving,undirected,3
Stenby,Erikslund,Shoplifting,undirected,3
Erikslund,City,Shoplifting,undirected,3
Bäckby,Skälby,Burglary,undirected,2
Rocklunda,Skälby,Burglary,undirected,2
Rocklunda,Bäckby,Burglary,undirected,2
Hökåsen,Rocklunda,Burglary,undirected,2
Hökåsen,Skälby,Burglary,undirected,2
Hökåsen,Bäckby,Burglary,undirected,2
Malmaberg,Bäckby,Burglary,undirected,2
Malmaberg,Skälby,Burglary,undirected,2
Malmaberg,Rocklunda,Burglary,undirected,2
Malmaberg,Hökåsen,Burglary,undirected,2
City,Hökåsen,Burglary,undirected,2
City,Rocklunda,Burglary,undirected,2
City,Skälby,Burglary,undirected,2
City,Bäckby,Burglary,undirected,2
City,Malmaberg,Burglary,undirected,2
Vallby,Malmaberg,Burglary,undirected,2
Vallby,Rocklunda,Burglary,undirected,2
Vallby,City,Burglary,undirected,2
Haga,Vallby,Burglary,undirected,2
Haga,Malmaberg,Burglary,undirected,2
Haga,Bäckby,Burglary,undirected,2
Haga,Skälby,Burglary,undirected,2
Haga,Rocklunda,Burglary,undirected,2
Haga,Hökåsen,Burglary,undirected,2
Haga,City,Burglary,undirected,2
Erikslund,Gränsta,Drunk Driving,undirected,2
City,Erikslund,Drunk Driving,undirected,2
City,Gränsta,Drunk Driving,undirected,2
Hammarby,City,Drunk Driving,undirected,2
Hammarby,Gränsta,Drunk Driving,undirected,2
Gideonsberg,City,Drunk Driving,undirected,2
Gideonsberg,Gränsta,Drunk Driving,undirected,2
VästeråsO,City,Narcotic Offence,undirected,2
Kristiansborg/Karlsdal,City,Narcotic Offence,undirected,2
Kristiansborg/Karlsdal,VästeråsO,Narcotic Offence,undirected,2
Gideonsberg,Kristiansborg/Karlsdal,Narcotic Offence,undirected,2
Gideonsberg,City,Narcotic Offence,undirected,2
Gideonsberg,VästeråsO,Narcotic Offence,undirected,2
Centrum,Vallby,Shoplifting,undirected,2
City,Vallby,Shoplifting,undirected,2
City,Centrum,Shoplifting,undirected,2
Stenby,Centrum,Shoplifting,undirected,2
Stenby,City,Shoplifting,undirected,2
Stenby,Vallby,Shoplifting,undirected,2
Erikslund,Vallby,Shoplifting,undirected,2
Erikslund,Centrum,Shoplifting,undirected,2
Centrum,VästeråsO,Theft,undirected,2
Brottberga,VästeråsO,Theft,undirected,2
Brottberga,Centrum,Theft,undirected,2
City,Centrum,Theft,undirected,2
City,VästeråsO,Theft,undirected,2
City,Brotterga,Theft,undirected,2
Malmaberg,Råby,Assault,undirected,1
VästeråsO,Råby,Assault,undirected,1
Centrum,Råby,Assault,undirected,1
Centrum,VästeråsO,Assault,undirected,1
Centrum,Malmaberg,Assault,undirected,1
Frösåker,Malmaberg,Assault,undirected,1
Frösåker,VästeråsO,Assault,undirected,1
