Id,Weight,DrunkDriving,Burglary,DrugDriving,Molestation,Violance,Fraud,Robbary,Shoplifting,NarcoticOffence,Theft,IllegalThreat,Vandelism,EnviromentalOffence
City,15,2,3,,,,,1,3,3,3,,,
VästeråsO,13,1,,1,,1,,2,,4,3,1,,
Erikslund,9,3,1,,,,,,4,,1,,,
Vallby,9,2,2,,,,,1,2,1,1,,,
Centrum,7,1,,,,1,1,,2,,2,,,
Bäckby,5,1,2,,,,,2,,,,,,
Gideonsberg,5,3,,,,,,,,2,,,,
Hammarby,5,3,1,,,,,1,,,,,,
Råby,5,1,1,,,1,,,,1,1,,,
Malmaberg,4,,2,,,2,,,,,,,,
Haga,3,1,2,,,,,,,,,,,
Hälla,3,1,,,,,,,1,1,,,,
Rocklunda,3,,2,,,,,,,,,,1,
Skälby,3,,3,,,,,,,,,,,
Stenby,3,,,,,,,,3,,,,,
Bjurhovda,2,,,,,1,,,,,,,1,
Brottberga,2,,1,,,,,,,,1,,,
Hamre,2,,1,,,1,,,,,,,,
Hemdal,2,,,,,,,,,,,1,1,
Hökåsen,2,,2,,,,,,,,,,,
Jakobsberg,2,1,,,,,,,,,1,,,
Kristiansborg/Karlsdal,2,,,,,,,,,2,,,,
Nordanby,2,,,,,,,1,,,1,,,
Oxbacken,2,,,,,,,,,1,,1,,
Skallberget/Vega,2,,1,,,,,1,,,,,,
Vasagatan,2,,,,,,,,,2,,,,
Viksäng,2,,,,,,,1,,,,,1,
Blåsbo,1,1,,,,,,,,,,,,
Brandthovda,1,,1,,,,,,,,,,,
Enhagen/Ekbacken,1,,,,,,,,,,,,,1
Framnäs,1,1,,,,,,,,,,,,
Freja,1,,1,,,,,,,,,,,
Frösåker,1,,,,,1,,,,,,,,
Gryta,1,,1,,,,,,,,,,,
Gränsta,1,1,,,,,,,,,,,,
Klockartorpet,1,,,,1,,,,,,,,,
Kviksund,1,1,,,,,,,,,,,,
Loviseberg,1,,,,,,,,,1,,,,
Norrlden,1,,1,,,,,,,,,,,
Pettersberg,1,,,,,,,,,1,,,,
Rönnby,1,,1,,,,,,,,,,,
Sjöhagen,1,,,,,,,,1,,,,,
Skiljebo,1,,1,,,,,,,,,,,
Skultuna,1,1,,,,,,,,,,,,
Stohagen/Spantgatan,1,,1,,,,,,,,,,,
Tillberga,1,1,,,,,,,,,,,,
Vetterstorp,1,,,,,,,,,,1,,,
Örtagården,1,,1,,,,,,,,,,,
Östermalm,1,,1,,,,,,,,,,,
